straight|p17_Global|straight_002,LShoulder,LUArm,LFArm,LHand,RShoulder,RUArm,RFArm,RHand,LThigh,LShin,LFoot,LToe,RThigh,RShin,RFoot,RToe,Hip,Ab,Chest,Neck,Head,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p17_straight_main_023,0.22733844483220875,0.13432550441824181,0.160430714543137,0.019281230160679456,0.30835817973934887,0.1699953539239135,0.14956285366960947,0.0956235814208165,0.17893519371358207,0.36166788951366385,0.25060979977669084,0.1635730624519986,0.16141715493723732,0.22162769098215315,0.2731630015729586,0.13623101782110492,0.9048957274105657,0.2988462870473124,0.29523881709805294,0.2486795594082934,0.2668922351626227,0.047954813797070145,0.04773338332427922,0.04762842418353071,0.4765903795503418,0.7413025956969859,0.3944655099402583
p17_straight_main_024,0.21920685684839464,0.16706828155083825,0.23457506493059155,0.04099576649938026,0.3562024644920705,0.16360744624885998,0.13300926453498035,0.013851518527009046,0.18791751317465924,0.34784770087938854,0.20148694298937891,0.15192221114638524,0.1835933297451271,0.19677028417079537,0.3478048610086354,0.1824225374114344,0.9680584897249084,0.36528054434708096,0.3624441225840725,0.2541642148429583,0.25160707365980467,0.04953423822214823,0.05218727247772098,0.04781192883557521,0.4820220581226389,0.792119751742378,0.4199658402889766
p17_straight_main_025,0.21726105431723547,0.16444463634171308,0.18398115250586033,0.03488955393225157,0.36435326765443676,0.17153723690216943,0.17025210330534848,0.12593535217573543,0.18565286532652608,0.34326532737426324,0.2059849663938187,0.1441206852088103,0.18907952839958628,0.2055537901906069,0.3653229241026155,0.19050339418765494,0.9503773839459887,0.34742711839488416,0.34429168084434014,0.25735333813066996,0.25476307546301646,0.04830578486818469,0.04826488834521083,0.04768612780159324,0.4759860278044801,0.8285776988987489,0.43813191335017104
p17_straight_main_026,0.23092929946041227,0.14464819442516674,0.17210665340372472,0.025440473144305125,0.28324706334638183,0.17214536387353804,0.14716642071857355,0.09862513472983095,0.1747883740035202,0.35920769818034415,0.2180228340233223,0.1517153746180383,0.16384463822383724,0.18522727690338847,0.3136069899302486,0.1451251618384216,0.9026994224579971,0.2943388585799876,0.2892733683027745,0.23806178481646129,0.24937820128695973,0.047877425779567474,0.047731275820833106,0.04762698616685132,0.45230528425502536,0.7396942480973625,0.3936606171321069
p17_straight_main_027,0.23023185019134207,0.12060967623301666,0.13875075443881682,0.013867105148898348,0.27529317940437364,0.16819490219743496,0.15716013261871825,0.08814116809161356,0.17720401994201546,0.3665234278443947,0.23146309842101118,0.1720415488964369,0.16182903075332583,0.19023962472761818,0.30991120433830477,0.13714798540209405,0.886331618086702,0.27932575359508094,0.28008307378885794,0.24931180737258102,0.26142680862585654,0.04788430698469363,0.04789333913849911,0.047624743922715373,0.43865822283875666,0.7359056817320626,0.39176521282738896
p17_straight_main_028,0.22545562637191932,0.144151271957804,0.22584112442486887,0.033888961317082675,0.26571926155288206,0.1696792820721204,0.13676493707749188,0.07782043937781558,0.17275148800905255,0.3488827090223555,0.2022978315917591,0.14039728739487922,0.16521818518564574,0.1846753571825927,0.3092368912051007,0.1493219950765808,0.8910055116351577,0.2817987415820603,0.2771944313939172,0.23314083118826492,0.2459970671422873,0.048002294679241816,0.04777126241595211,0.04762037563630913,0.44953366996681526,0.7270205089853573,0.38732044231083324
p17_straight_main_029,0.23210202192507437,0.14744660261267437,0.21751635716519296,0.027221499225606106,0.33038005530560244,0.16826399203020767,0.19980031710179721,0.12959357643083008,0.19350843400698878,0.35148617227187195,0.21355082702351363,0.16288009795565497,0.1873124600851956,0.2039207512293005,0.3476406544258642,0.19541819749938488,0.9566283229798156,0.35664094291333026,0.35361890134680446,0.27267477082386715,0.2559498100325085,0.0479574810439109,0.04821511858190454,0.048014657942369414,0.4727174017956693,0.8461687844008317,0.4470917211716005
p17_straight_main_030,0.22742804532515998,0.15047475423493817,0.2350143284880671,0.040883952195019085,0.2540797380687262,0.16963890560322076,0.13780676696568897,0.09020806887211656,0.18880981306311698,0.3405515895566228,0.20111586230739528,0.1458789800153717,0.16918655387109413,0.19430187531559223,0.3233129672284555,0.16887971728278156,0.9140746935887781,0.3137068289439787,0.3099257035396065,0.28538705302679374,0.26888730606410416,0.047994205568024216,0.04792661415774209,0.047627155592668426,0.43926591028846096,0.7901669646821193,0.41889706013739386
p17_straight_post_001,0.21618158200478396,0.1435774194433457,0.14616561516818713,0.022429553232825812,0.3111438689923033,0.1852405390396171,0.14152199037306695,0.0892878590889503,0.1763689582146178,0.350198513838938,0.19179704894307095,0.13994320769053986,0.16387403872695291,0.19601806973720404,0.30645323342822295,0.14389648729859467,0.8976600994274518,0.2899868295948016,0.2859638855364591,0.2701238344445124,0.29146052608923495,0.04812290728880068,0.047819127997200006,0.04768687262015641,0.4644688840337451,0.7293377747853647,0.3885123237027605
p17_straight_post_002,0.2380291036239271,0.14904496552488014,0.19527912791475005,0.029642988179846442,0.27948311185886215,0.17742782252545278,0.14138277166194818,0.09573502138426224,0.1934149687562051,0.36462899508820074,0.19449423954617223,0.14157716341128654,0.16401520462108335,0.22575374477473895,0.25823434619931984,0.12670848472701235,0.9180701223070639,0.28441642750815366,0.28036066843706514,0.24057191673006892,0.26898995055049413,0.04803583185789496,0.047710654605197196,0.0476386111105463,0.46748416661492,0.7370477671622788,0.3923431891364126
p17_straight_post_003,0.23847386697143946,0.15415865289264885,0.18989905910208044,0.029974887729782816,0.2705256701753231,0.17812211681516585,0.14550122212677552,0.09023619239518348,0.17465637270608958,0.3721081755306651,0.20656912718981837,0.14805095415762445,0.16095633213862653,0.18918026647625077,0.31290262998723073,0.13476424651135446,0.8942255232681342,0.28629423379382457,0.28055489475783263,0.27118891120708877,0.2924169479783011,0.04794442083797346,0.04770261940663067,0.04761989055380581,0.482689922196567,0.7346558642035466,0.39113787737867617
p17_straight_post_004,0.2329286776981821,0.12037182373018221,0.1512686018972798,0.014046723824730665,0.27402653337031113,0.17348376574865315,0.15447740818000613,0.10057542830087333,0.17749824051520782,0.3741920260102889,0.22671243708754146,0.1802698600594289,0.16568579181509174,0.21228434004125302,0.26755429944731296,0.13696099574451565,0.898250238046049,0.2887153254202036,0.29003277642477665,0.2550651913267391,0.2675842586031394,0.047916431312644926,0.047713020733272105,0.047637460212232155,0.4388831586275933,0.7475788782486339,0.397608169230433
p17_straight_post_005,0.23130786779198992,0.13096782088992626,0.16001978004340928,0.020728882306432356,0.2854930749655786,0.1766478221744607,0.15324798277631924,0.09982242324055177,0.18866030835743536,0.37567708296739843,0.2178136195276268,0.16693957153027655,0.17155411587223693,0.23569416092672898,0.34843488430084985,0.16268162359610822,0.9021004315944563,0.27993861809555776,0.2971699409545536,0.27321432511535926,0.261545177217761,0.04822096788309157,0.04789802031487891,0.047702851003722145,0.48316186219605806,0.7720919391649156,0.4098973950843189
p17_straight_post_006,0.23219189427443743,0.1365424974280251,0.1622638321360382,0.019800514344348947,0.30886357342917775,0.16986033758006908,0.15426618213942703,0.0840798045101087,0.17573340035561572,0.37413402249717304,0.22036165695581347,0.16734182968642447,0.1658308173208331,0.20931403147051272,0.30311272435881376,0.15276278828381004,0.8950797759819015,0.28683605534797063,0.28155548543528186,0.26721964170079776,0.2774842864895734,0.048058066204925656,0.047790292496340966,0.04762083028050551,0.4763366439689761,0.7447574205356416,0.3961891254080736
p17_straight_post_007,0.23168678516267818,0.13943818794736676,0.17057252116037117,0.01914188290118802,0.28186654635942715,0.17324174773892517,0.1504549935298504,0.08309346128470166,0.1797374090655608,0.3771805289059531,0.2044529613076819,0.1586221129836945,0.16499527102175907,0.19593977996436046,0.307742778816153,0.14376282810229182,0.8917209667597991,0.2865449182317298,0.2824319940591967,0.31206969050353445,0.3250260421071137,0.04797266816585045,0.04783375592559361,0.04763115436055006,0.4759281702576934,0.7496431480477583,0.3986371512041542
