hook_left|p06_Global|hook_left_001,LShoulder,LUArm,LFArm,LHand,RShoulder,RUArm,RFArm,RHand,LThigh,LShin,LFoot,LToe,RThigh,RShin,RFoot,RToe,Hip,Ab,Chest,Neck,Head,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p06_hook_left_post_001,0.27668005397282397,0.16810201453931795,0.11963726465831859,0.08883082196178592,0.31612891759148604,0.18032448737919535,0.2486129062136917,0.15967486682816923,0.1846488986488306,0.3004505482666474,0.21224680524222955,0.10928678568160419,0.1957809612670795,0.2714693968608312,0.3587605746836285,0.19888993752987574,0.9015543808867724,0.3067219707359884,0.309158879909136,0.31330107855316636,0.29963216696577455,0.05214532660321824,0.04849115135421008,0.04779935496407289,0.5023417655003863,0.8443419447894064,0.4460706498767396
p06_hook_left_post_002,0.27325933884621983,0.15725826839119106,0.10892507676862587,0.06195551121248351,0.29682754578196713,0.18418511192051334,0.2733952999479818,0.1812963824640727,0.18458405960167765,0.3027918009804712,0.22828292855733334,0.1243447182284269,0.19271515143130252,0.2799450544019535,0.3584478661498259,0.19235422522017548,0.9130388657403223,0.3132545633367535,0.31340281864868375,0.3191175466377677,0.30615933248547955,0.05185409501842277,0.04984286192282524,0.047641953211414054,0.5293755164635997,0.8363170972734514,0.4419795252424327
p06_hook_left_post_003,0.292259439235984,0.15393583605715963,0.07948009572852557,0.06073015487636631,0.2951448751857459,0.17353295484472495,0.2630691123862353,0.1788008164051082,0.17276063605583852,0.2919685560069042,0.25904334963501574,0.13268028953478977,0.18841228545851466,0.2675255160616348,0.3641656034012666,0.19596300954890036,0.9175671732928002,0.3173133834890803,0.31793126051352694,0.3139613791897773,0.3041656017867808,0.05231429472367405,0.050060952686975226,0.047637622243593435,0.5251760118603813,0.8252592974769951,0.4364484598602943
p06_hook_left_post_004,0.26402839333234784,0.14538826742562963,0.11725964123204949,0.06422647438430083,0.3447549291906505,0.18141479147007894,0.2572479827893089,0.17927362316478793,0.18505595083024248,0.3280424600872773,0.20927793378447462,0.104183526720905,0.19359415914852782,0.2620157024070161,0.3683224627508623,0.19245285168002507,0.8964195358685103,0.29733273373541386,0.2972116040617642,0.3216049856826593,0.3145564355165372,0.05047561798924788,0.049710461307764964,0.047664045332568905,0.5455575871069402,0.8277062824157255,0.43768516387414724
p06_hook_left_post_005,0.2991957330505436,0.14281902988783504,0.05792337859523037,0.04539686546555864,0.287442720479134,0.16973334219412203,0.20260353509189769,0.11503529584840597,0.18727107095318923,0.268450443605725,0.2655389088818235,0.1405510183642379,0.19497839629123975,0.2620857154475579,0.35328574294371196,0.1977181493970372,0.9232637398102665,0.3255922164730968,0.3269760528285512,0.28435750300176815,0.2709199467417059,0.052697453903490066,0.049130767140179075,0.04767627502655224,0.4701856854871755,0.8100046228020761,0.42884044891431417
p06_hook_left_post_006,0.26041071289527495,0.15018763007189512,0.05192524603374539,0.0290711041051885,0.319873929083924,0.16273569553858452,0.12484451434742631,0.052918479236387574,0.1906615007966425,0.24609090114977256,0.2595449174441393,0.13302097242141617,0.18452599405953352,0.2560851809441343,0.3497683523893789,0.19473464620811792,0.9326414467731725,0.33653866003828176,0.33533623642548216,0.27577397970242823,0.25932094421417023,0.05335335965396209,0.04910846737559375,0.04778278366073946,0.47035679722688145,0.7561264351654369,0.40195460941308814
p06_hook_left_post_007,0.26424400985046814,0.07426252271400942,0.02450392879017433,0.016830247374746424,0.29149707662348306,0.10464785298482929,0.10519616713801586,0.02594434057927551,0.1692402839102307,0.19750719571757985,0.2630215922065379,0.12750894291402054,0.16161563336010218,0.22676467212120333,0.3039019559332364,0.14793588954324374,0.9040703551743965,0.2916823539184974,0.2900364801848851,0.2322603013537743,0.22987840182892155,0.05361169900099203,0.04788034291653549,0.0476191739908438,0.44740913046326797,0.6219950854920162,0.33480712974143
p06_hook_left_post_008,0.2637481884100292,0.06570889403233943,0.01826022189602419,0.011078665657193894,0.2642298665321922,0.10756283360297669,0.10362103806960916,0.03365293239913171,0.1718303646169492,0.19529298263468117,0.2635716799460085,0.129219855444207,0.16997217913158197,0.22156561557223037,0.3137461393254214,0.1574496717936211,0.9045815709663654,0.3031868695299737,0.2995429873673009,0.2352214431705101,0.22817892703032522,0.05179556966514919,0.04783852451573732,0.047619172851100657,0.41517030087095347,0.6429926017535009,0.3453058873023008
p06_hook_left_post_009,0.23251246013072063,0.14352166643480038,0.12329504010745558,0.11150631317113265,0.3290695552432096,0.1490718623219707,0.19152568736980147,0.12245292233047714,0.1517520126490636,0.17067848926407003,0.23243712818128573,0.11017068936305204,0.16942634108788027,0.22526421358611506,0.3402648355075788,0.18534272210410996,0.8874389397447949,0.29522243498815626,0.2978697559774825,0.2504749903684026,0.24534595973085221,0.05376431465160406,0.04802955545240047,0.04761942936657123,0.4286228428547717,0.7436381766348077,0.3956288030006895
p06_hook_left_post_010,0.19597154535423716,0.14611893073428703,0.12621118711786664,0.09347806615031293,0.3044213014920294,0.1299295599802246,0.1687840068586703,0.10366710657112994,0.1425123244596961,0.16350562519766904,0.2011882011194599,0.09093689938357122,0.16060181865331374,0.23869942688765153,0.3571524276290618,0.18090601123996916,0.8846621778988208,0.29293304718218216,0.2959552598580383,0.2174928607670341,0.21325715936768147,0.05278676672251174,0.048352451710345384,0.0476194937804561,0.43814627946431683,0.6765646237981182,0.3620920587892872
