jap|p19_Global|jap_003,LShoulder,LUArm,LFArm,LHand,RShoulder,RUArm,RFArm,RHand,LThigh,LShin,LFoot,LToe,RThigh,RShin,RFoot,RToe,Hip,Ab,Chest,Neck,Head,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p19_jap_main_021,0.27028020123992935,0.13932552264841908,0.22644149496607757,0.19331731349616177,0.35060634222107795,0.16438999604394525,0.16633088425369563,0.17926602961232288,0.19077534049734118,0.31679786578394226,0.29682562885973696,0.19493735553402253,0.1891701341759981,0.303316665628496,0.35304691500008245,0.19760289258989197,0.9352766007957168,0.33018775380955107,0.33536164307663635,0.37744078983537016,0.3792149558522541,0.0477080356964974,0.05088327369257581,0.047734811414929294,0.5993873060579172,0.9091563248277041,0.4784455681213167
p19_jap_main_022,0.2586854728332805,0.14376817324909003,0.22198018904627373,0.18408689033287198,0.34158272358224695,0.16369151485355468,0.15276993686746607,0.18289554735170882,0.18990633677527208,0.3059626739497565,0.3065735120513614,0.19553861197767416,0.18474829339989035,0.2285147199496099,0.30460189952102523,0.1975734680132905,0.9065547027596124,0.30259116739852826,0.306523695119353,0.3725403714202967,0.37606911994915243,0.04778628320479939,0.05045594852669702,0.04763215212814691,0.5133732096689625,0.9026373833704582,0.4751347677493025
p19_jap_main_023,0.23781371370962062,0.1551226695766573,0.27533549601213514,0.19250410967900325,0.3193150633189193,0.1637769419441362,0.19897564779783689,0.19010602986674724,0.19531423390554428,0.2757149862780034,0.3037384028773,0.18890442919566972,0.18877022520303094,0.3162210351453821,0.37850007326677815,0.20570418348392452,0.9396787730469569,0.3330292046336014,0.3394327056524763,0.37523137188726297,0.378132653354806,0.04810458900187246,0.05448560771673554,0.04848613092604876,0.5905702097401823,0.9218176057597645,0.48515186834290663
p19_jap_main_024,0.23666933221431963,0.14960171004744305,0.27958373019805666,0.189718953111991,0.3201671027787655,0.16818784632976744,0.19288443697470112,0.18708611760650612,0.19289410698232273,0.2794480460606673,0.30259090411451267,0.19151889643597567,0.18664975613003398,0.2893216535082178,0.36338816905105,0.19982513243273414,0.9528246847313874,0.34805024725564515,0.35253797498694023,0.372907224674717,0.3749806884314351,0.0480282785426462,0.051300579595041654,0.047822455325285486,0.580194607533177,0.9199902964112696,0.48390637586827756
p19_jap_main_025,0.25969722778154675,0.13708985686425396,0.23112711679063222,0.19016649660617174,0.34940230903380404,0.16703975398371348,0.15710876599348506,0.19069270472237393,0.18846367597388353,0.30964530092027853,0.3050642260674045,0.19643465990702078,0.1880639038786226,0.2655179959037192,0.33639484171537826,0.19657752438822917,0.9236458143119366,0.3214161368271257,0.3235261520579044,0.3638697615595743,0.3683815079638947,0.04774461331183779,0.05240743875774169,0.0476463583600292,0.5487855497001017,0.9115210292345791,0.47958369379730414
p19_jap_main_026,0.2705073676776052,0.14116080493408406,0.21482836473364805,0.18932858885278697,0.34985123465743245,0.1544509873150583,0.1566752518008938,0.19136422633583317,0.19281197432377373,0.31596800294259386,0.2875286046655544,0.19599138046643044,0.18196842217985293,0.24514750116866074,0.333862075108399,0.19962531479302698,0.9179927902592201,0.31298468327005474,0.3152780772683168,0.375590738843557,0.380887976968223,0.047729153499082674,0.05155663384739489,0.04765282309015015,0.5414546368330855,0.9048177076769586,0.4762352653835544
p19_jap_main_027,0.23862592067619684,0.1489672150849943,0.26873400053260776,0.1952008032431587,0.3280794117427185,0.16782504165151707,0.18990581778880639,0.19056143896832076,0.19137626249218567,0.26826765009925774,0.31233386401462704,0.19379018778381296,0.1915853070520283,0.32395613739339046,0.3717950742033106,0.20314466766258454,0.9443113748294045,0.3401704452065144,0.3448953411430996,0.3827953179068112,0.38328269135962706,0.04807416422689823,0.05476424121643482,0.04786080887679177,0.5882330850939724,0.9260954079603827,0.48697810841858724
p19_jap_main_028,0.2571421646659267,0.1344820819053703,0.24324842615678643,0.1906126690401189,0.33002276811583114,0.1641932265826375,0.1671453110641874,0.18677854794451976,0.18885255875032383,0.28782228242857083,0.3076855749181773,0.1959787638316759,0.19049389664691524,0.2840592316583743,0.333805910017395,0.19663471686037584,0.9407579494131243,0.3365720530282745,0.34023852647868197,0.37545423774385644,0.37966777982224553,0.047769032813682326,0.05302232436319344,0.04763942332915138,0.5574309729902867,0.9105633882628626,0.479101405796007
p19_jap_main_029,0.24350551022703515,0.1389861252923584,0.2517777518416794,0.18523828237847292,0.3289404759627299,0.1687320042954884,0.17329016216506327,0.18195313950591155,0.18515793155305554,0.2687010202696162,0.3201838378031618,0.19550563512427782,0.19252560075961794,0.30905024439821,0.3463224868382634,0.1943556803011196,0.93391953780194,0.32992875772240565,0.3357986599423563,0.37926661735233624,0.3811449571703292,0.04800582809012462,0.05188808450832086,0.04767465580816494,0.5624049088808358,0.9140313702268704,0.4808530130175177
p19_jap_main_030,0.2785003759089905,0.14155284460971057,0.17507530344335429,0.1402223858363977,0.34218792322991193,0.15600690246243593,0.14647508419643573,0.1889202640071651,0.1885506717902347,0.2947982859442672,0.32568211384365925,0.19665393704625717,0.18592823178715545,0.24850492462469642,0.32390324296388984,0.19599786953704545,0.9266053736938102,0.3215469842697775,0.32358035576710487,0.37474343587132586,0.3774498367647118,0.04790705004084041,0.048376347576624186,0.04762780327458691,0.5496225268192316,0.8832543734359035,0.4654410883552452
p19_jap_post_001,0.13375594888511594,0.12465253250847005,0.07688745820191308,0.06855062868676169,0.21194599612906692,0.021669676250979014,0.08859147655925509,0.06170425337679915,0.09098453810592365,0.27812341541216357,0.19170693774697029,0.05829300380112642,0.036957079672256275,0.090633026339063,0.18573048753009597,0.06605332128023958,0.781508236093887,0.17158783176761233,0.17010676622363582,0.23141119487254946,0.2648765546307564,0.047666789210287566,0.047802000918740276,0.047619048422571246,0.5238675605896729,0.31883847449063446,0.18322876145660286
p19_jap_post_002,0.24741658913538317,0.12633876161784569,0.2432558618836707,0.1834246253986186,0.34963701018738824,0.17170255444907723,0.1630315929928456,0.1692768626931396,0.17613160948699672,0.2518071367201815,0.2950875903167526,0.19433014491213302,0.189543411137523,0.30192954411234574,0.36060542692681674,0.18666621815262974,0.9410153204173957,0.33962855078607,0.3445639799298559,0.36470400088630484,0.3583784300413776,0.04801765439054534,0.05068638079541595,0.04763159678480255,0.5597265627870465,0.8941114346974425,0.4708715157411225
p19_jap_post_003,0.2765873929738422,0.13722557630500357,0.17024486450519302,0.14389608912977292,0.3462336302303328,0.14898299582660648,0.1451074440483235,0.19001037684205493,0.19059842815674766,0.28088378369119404,0.34263884458322624,0.1971020338759428,0.1842664144707077,0.21905863410833076,0.3352140560335534,0.1974767940079052,0.9216953733479656,0.31756026531784276,0.31851463876582764,0.37107558148685144,0.37162183561310747,0.04785443656193235,0.04818116939854134,0.047650838261757436,0.537536797995145,0.8813882428751256,0.4645195405684415
p19_jap_post_004,0.28535201786075953,0.14242033073023116,0.1927194725689624,0.14902560000790138,0.34731427548580085,0.13842803981011617,0.13937938209417566,0.19252676764827867,0.1935719328211415,0.31148650094809743,0.3021402879798035,0.19535028671306176,0.17799608887912224,0.23983305845397102,0.33044274203985674,0.1981342081544982,0.9243273408572434,0.3182174539185193,0.31942971390334174,0.3609900022247755,0.3640531436296029,0.047665090886115896,0.048532969904122134,0.04765194965464222,0.5479734671141122,0.8803380944007134,0.46399502202767784
p19_jap_post_005,0.23014072223114956,0.13662015747561318,0.3011577881325362,0.1887575779344338,0.3275569205165552,0.1673629273488718,0.16640868969473693,0.18515896000981297,0.1846205253134065,0.2602028962870945,0.30326453628671307,0.19662834405941268,0.19401087352165775,0.32518262140631726,0.3729262788784249,0.19753042407207405,0.9496227138401985,0.34579080014479235,0.35158871931479363,0.38131684261821147,0.37865171576431933,0.04800502104682677,0.05262647813727335,0.04771988007554925,0.58531015357022,0.9184568444289416,0.48308836225224544
p19_jap_post_006,0.2695176062710981,0.12247502385075777,0.22378709382344536,0.1900613937073593,0.3532161715099725,0.14456424853924515,0.16352249495668308,0.1865784105672445,0.19319575242898776,0.3072750348377028,0.29679012336704025,0.194933173354479,0.18767593573850808,0.29167575486964037,0.3484725585907399,0.19900865779757698,0.9420712963435782,0.334632286837937,0.3420391132795086,0.37525112345498657,0.36210670341681295,0.047757390567767455,0.052086245297445134,0.04815540651011758,0.5778877347698875,0.9000166758883139,0.47408604119921577
p19_jap_post_007,0.2205953058395433,0.10658136228256765,0.3119854405441497,0.1863605008602393,0.3034351123782514,0.1682576569685344,0.14446560821624815,0.15151599604014998,0.14398643960836555,0.19352944547389644,0.28238219374360096,0.18002114977022993,0.18640273833512871,0.30989929848363856,0.3390326369119632,0.18282324993160579,0.912041499085585,0.314858981694104,0.32490676848648414,0.3749761596472977,0.3686170875415914,0.0478350794191143,0.04914794800826961,0.04762163217830107,0.5389110195984206,0.8449619099410663,0.4462917710596837
