subject_id,motion,record_id,feature,condition,value
p13,Global,uppercut_left_p13_Global_003_similarity_matrix,Right_Arm,Main,0.2235658352839692
p13,Global,uppercut_right_p13_Global_002_similarity_matrix,Right_Arm,Main,0.15506776371739125
p13,Global,hook_left_p13_Global_002_similarity_matrix,Right_Arm,Post,0.19530872449819348
p13,Global,hook_right_p13_Global_001_similarity_matrix,Right_Arm,Post,0.06942347339183315
p13,Global,jap_p13_Global_similarity_matrix,Right_Arm,Post,0.246805775645267
p13,Global,straight_p13_Global_003_similarity_matrix,Right_Arm,Post,0.2295006250233426
p13,Global,uppercut_left_p13_Global_003_similarity_matrix,Right_Arm,Post,0.2181163858269901
p13,Global,uppercut_right_p13_Global_002_similarity_matrix,Right_Arm,Post,0.13438246132972032
p13,Global,hook_left_p13_Global_002_similarity_matrix,Right_Leg,Pre,0.30857033347755053
p13,Global,hook_right_p13_Global_001_similarity_matrix,Right_Leg,Pre,0.12617067725746675
p13,Global,jap_p13_Global_similarity_matrix,Right_Leg,Pre,0.3286066865026039
p13,Global,straight_p13_Global_003_similarity_matrix,Right_Leg,Pre,0.25038852182689114
p13,Global,uppercut_left_p13_Global_003_similarity_matrix,Right_Leg,Pre,0.30712160714686776
p13,Global,uppercut_right_p13_Global_002_similarity_matrix,Right_Leg,Pre,0.225309212637258
p13,Global,hook_left_p13_Global_002_similarity_matrix,Right_Leg,Main,0.3034744385082681
p13,Global,hook_right_p13_Global_001_similarity_matrix,Right_Leg,Main,0.15966646979457488
p13,Global,jap_p13_Global_similarity_matrix,Right_Leg,Main,0.3313675524078567
p13,Global,straight_p13_Global_003_similarity_matrix,Right_Leg,Main,0.2240625937415592
p13,Global,uppercut_left_p13_Global_003_similarity_matrix,Right_Leg,Main,0.29824544008428655
p13,Global,uppercut_right_p13_Global_002_similarity_matrix,Right_Leg,Main,0.24329540336596983
p13,Global,hook_left_p13_Global_002_similarity_matrix,Right_Leg,Post,0.2803520210812699
p13,Global,hook_right_p13_Global_001_similarity_matrix,Right_Leg,Post,0.133235063467417
p13,Global,jap_p13_Global_similarity_matrix,Right_Leg,Post,0.33090021871834563
p13,Global,straight_p13_Global_003_similarity_matrix,Right_Leg,Post,0.22619957294481868
p13,Global,uppercut_left_p13_Global_003_similarity_matrix,Right_Leg,Post,0.2927172988746638
p13,Global,uppercut_right_p13_Global_002_similarity_matrix,Right_Leg,Post,0.21751157592732642
p13,Global,hook_left_p13_Global_002_similarity_matrix,rotation,Pre,0.832890067489032
p13,Global,hook_right_p13_Global_001_similarity_matrix,rotation,Pre,0.2515191650458416
p13,Global,jap_p13_Global_similarity_matrix,rotation,Pre,0.8632884541702637
p13,Global,straight_p13_Global_003_similarity_matrix,rotation,Pre,0.7997043910734332
