uppercut_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation
p06_uppercut_right_post_007,0.28800118451468804,0.41989785935530943,0.24922571852511627,0.29306513735169465,0.1610000961185371,0.18373127088197724,0.05710545299980718,0.0520584355778443,0.04762890567180047,0.48453158186909373,0.6883407208598611
p06_uppercut_right_post_008,0.30038049505358205,0.4298088831633214,0.2301644884900599,0.2940289309127252,0.15319973693956337,0.13733654824851232,0.0533902682566863,0.04783528652456784,0.04762456834547384,0.45718691388253563,0.6674277466147073
p06_uppercut_right_post_009,0.18081358696686348,0.30267545126781714,0.12182577737696268,0.14947230762058833,0.10870431399665526,0.09729744182286436,0.05718497627237164,0.048711976592116,0.04761917913530202,0.4433979958856785,0.20692434606677837
p06_uppercut_right_post_010,0.29454017891512657,0.4110474512421873,0.24546868119601636,0.26975389820517337,0.12449958615075607,0.10496530645908878,0.056550335431877125,0.0478858347968682,0.04763493623743994,0.4616633924921663,0.5821518543156992
p06_uppercut_right_pre_001,0.3359572133122728,0.4585171386882033,0.24793132350698716,0.3361236143523615,0.1548472591469711,0.20499262764834283,0.0961856689767951,0.06527713309134255,0.04763579978018012,0.5416427495801406,0.6801022754083397
p06_uppercut_right_pre_002,0.3340620844366642,0.4357037212896956,0.227698626977213,0.3174620187466068,0.1839193977555264,0.2007478893742359,0.0579369729476576,0.04859168916963692,0.047622871019929694,0.5643149981914636,0.6859098653803831
p06_uppercut_right_pre_003,0.35155536666808546,0.4551597051402629,0.2971313145951072,0.3242356778564008,0.19626148628130108,0.17400452528427277,0.05889155701219576,0.05664653451722566,0.04765887314066526,0.5498227229130057,0.7693879599624098
p06_uppercut_right_pre_004,0.36167778440878673,0.4301237555929644,0.27810184002445076,0.33199445022008567,0.1503323345758262,0.19530004870004505,0.05586446332244996,0.04786841559568279,0.047820011154626696,0.538556385379571,0.7533979640077885
p06_uppercut_right_pre_005,0.36912042829245134,0.46523916540215876,0.2780075791516631,0.34616605333898665,0.17294053044400065,0.20593130657274558,0.058081249368713804,0.05574159284669903,0.04769849574727515,0.5657906979312335,0.7811919467830017
p06_uppercut_right_pre_006,0.34476750524432126,0.41907673837741094,0.26149012302260505,0.3312319122656222,0.19990707868117114,0.16270207311338095,0.0565461334442216,0.04912431231380569,0.04768365930145035,0.5441115214987473,0.7297731761526429
p06_uppercut_right_pre_007,0.35982354433037456,0.46464437698052324,0.29618563921756663,0.33976796165552137,0.1803363707193124,0.1690536616044372,0.05526208043413428,0.0501829995068119,0.04794793684707461,0.5689975861612936,0.7657370490685211
p06_uppercut_right_pre_008,0.35992886682192093,0.4784229808934605,0.31088297331985115,0.3370205038452201,0.17771278340726376,0.1990834328473738,0.06167415119899792,0.054505145008611325,0.04770508241165986,0.5974651870585668,0.7702300572592827
p06_uppercut_right_pre_009,0.3259287350394685,0.42808517596440077,0.2521966504890681,0.2825552207822692,0.13342926436451213,0.14909431953536859,0.05194280209373666,0.04792996887883122,0.047641973462714926,0.4896576050945873,0.6497103149861712
p06_uppercut_right_pre_010,0.30413012746842877,0.43161166378718907,0.2664566867135484,0.2981108886319346,0.11671397626483997,0.12132304582514859,0.05278993568381697,0.047939120160308726,0.04763306047857548,0.47957461819026015,0.6381072123076008
AVG,0.306292996541581,0.41147034276060634,0.2350943575467084,0.2751884107706083,0.14771318315314916,0.14991405560201296,0.05654277082110974,0.05049191715208066,0.04776397149672226,0.5115353854485869,0.5898236842754817
