uppercut_right|p02_Global|uppercut_right_004,LShoulder,LUArm,LFArm,LHand,RShoulder,RUArm,RFArm,RHand,LThigh,LShin,LFoot,LToe,RThigh,RShin,RFoot,RToe,Hip,Ab,Chest,Neck,Head,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p02_uppercut_right_main_021,0.15372394218522278,0.02656324489679752,0.06825511990395441,0.010706841282342859,0.14302313956731233,0.0439751075347629,0.1865873226513346,0.038047641770216176,0.041471719143688975,0.18925274118015717,0.23735193991344222,0.06376219165874428,0.039947327983357844,0.15834582508429945,0.17785973752348178,0.015011784536633705,0.756880639435666,0.17528287610267718,0.181631854105671,0.10846155230969497,0.09252355506302959,0.052194550096245275,0.04793074503059807,0.047621130935739116,0.5828749005592715,0.1997171547442995,0.1236691428400193
p02_uppercut_right_main_022,0.10804842227661986,0.014150062180115172,0.075041783913643,0.006021309310639917,0.13146095424253898,0.03643474859192528,0.1564468413898181,0.02928230940699562,0.028288683413255022,0.18620554190509028,0.22113676282500921,0.04940925831182422,0.02684135531950358,0.12716722243073023,0.15048980755326885,0.012181697143292059,0.7551418574018476,0.16817139891643634,0.17025389463933566,0.08470887495254126,0.07780716137876258,0.04987966376082252,0.04778286928256416,0.04762082444562775,0.5585673103484898,0.13730009935572685,0.0924604619006773
p02_uppercut_right_main_023,0.07861809355849578,0.00366005365016102,0.05420483456538884,0.0024964037508897227,0.09603154346487366,0.00690332433676321,0.1295808502680456,0.008845787763472336,0.005589546412162934,0.16961819968231956,0.16831828254303366,0.009327899616690654,0.006540615099450611,0.10721365968141774,0.14419947120552334,0.006296537582301022,0.7527948877067004,0.1586205661817495,0.15745263079425192,0.06244340393745481,0.05812185049138163,0.050515134545648606,0.04780822339980129,0.047620003001863254,0.5487233356081263,0.03063812532335415,0.0391290641626087
p02_uppercut_right_main_024,0.1297143529273054,0.005057196380913623,0.054077573727551675,0.00431498326069983,0.06160314217548381,0.007202470775076767,0.11623821755445689,0.011105929136750516,0.005458777025506239,0.16567904750431,0.14571313773585248,0.004362810851272723,0.008289566715468405,0.09324553537236943,0.13529284660513832,0.005902222878238711,0.6998413743935923,0.10313509043417027,0.10680817231304962,0.052786730134008496,0.04789596929876942,0.05136639227153824,0.047849979861932714,0.04761978223380195,0.49277709848039175,0.0312294764271632,0.039424629330482575
p02_uppercut_right_main_025,0.10061700848517381,0.005443827744296715,0.044999598231054073,0.002119328250762555,0.0619257915522172,0.012545466434375763,0.11491130270279612,0.013295045059984651,0.007737481957040357,0.18558231201227401,0.16114964627100256,0.010549410246038787,0.006300127006413423,0.04631786893072955,0.1462411460600066,0.0051339144661674795,0.6762239899709113,0.081690466727564,0.08409084124705556,0.053952484484413,0.05026418478192103,0.050002710304400955,0.047787129313775475,0.04761949777269064,0.4540792226390642,0.04042264693998762,0.04402107235633913
p02_uppercut_right_main_026,0.10081984036878619,0.0059341133160875584,0.04927047354582312,0.003707556270358417,0.07308543063633764,0.011284803706998749,0.09766622563199465,0.013248711857539962,0.0075807551114431245,0.18661770552817952,0.15379506152844608,0.009761640593209376,0.009917051753283519,0.05122463447832557,0.14338562266008686,0.006560194104356677,0.6888676248159797,0.09259181706710419,0.09555125814483616,0.05753502539751555,0.053561177780407546,0.05090373210795656,0.047859435531026694,0.047619815349503485,0.45826266066760546,0.04099302155764163,0.044306418453572555
p02_uppercut_right_main_027,0.07535604387719812,0.003476464546612288,0.03903702565109566,0.002587212336756131,0.07611343535177437,0.005757411503035581,0.08460850782546282,0.009718778999513896,0.0040864879851331744,0.1476719084205675,0.13697686707749013,0.003952759994682253,0.007231809542732372,0.06281603796941036,0.15024003940417094,0.005513689970660727,0.6955242263455288,0.0974898404307051,0.09990270940169453,0.04287740118216485,0.038397233232282516,0.05011398693605869,0.04786781033868991,0.047619316486808595,0.42807182582463776,0.025326571020699615,0.03647294375375411
p02_uppercut_right_main_028,0.0793807014200318,0.0034685356657806637,0.0379720751119876,0.0020497103787740067,0.07505964435240887,0.006650841943071709,0.07333853823609465,0.009167798559401159,0.005239945710931916,0.13881358959712528,0.13821666848228562,0.00930082305042262,0.007217458844063998,0.07540980893651274,0.15177026854910458,0.005402104754292038,0.6992453255532519,0.10133612043351839,0.10346075022670417,0.04767639115467306,0.04286300479328843,0.05077803270346596,0.04777976728908558,0.04761934848808606,0.4279095179946276,0.027617312163431922,0.037618330325758995
p02_uppercut_right_main_029,0.09045458387950127,0.0029336914236117945,0.05217107334606609,0.002329727451270959,0.09580475563848725,0.005527408752094467,0.0712438913845913,0.008165331443764126,0.004820751769721733,0.13361373007845714,0.15463471214647231,0.004162011373197844,0.006671907834624584,0.07989242006047498,0.13595862914901524,0.005026850338218572,0.7173568113522887,0.11914914170062355,0.12328897907731062,0.04847221755700147,0.04115187651173491,0.052805873805856815,0.047902761023484446,0.047619158303008315,0.4631284964754638,0.02149716004859217,0.03455815917580024
p02_uppercut_right_main_030,0.19538663795830877,0.07070397577581553,0.10679376412387324,0.0364748033131095,0.23034195969735033,0.017726189838599075,0.22118848126449153,0.09540835275681438,0.1239826825680492,0.26751508694626513,0.321167506504383,0.1562570582363631,0.12359693639175987,0.22800485090909559,0.22899447585936406,0.07042093939894761,0.8566591240671881,0.26654057907053935,0.2700588498320664,0.16684682693436612,0.15251553574787208,0.05097517423370921,0.04818904362058038,0.04762740174392611,0.5462698113365031,0.5196716389766616,0.28364952036029384
p02_uppercut_right_post_001,0.1754440294919875,0.058541398106650946,0.09901436335535453,0.03770925421884361,0.2150572572791288,0.009410961976546428,0.17957480836101136,0.07625288499659141,0.09824702234483715,0.24153478999000316,0.31858131952842034,0.13484104735819274,0.08419373099187853,0.19038392951597688,0.20076135934415035,0.03037577174377601,0.8317203768238344,0.24880513433809873,0.25355131820576365,0.14266742728456344,0.12326309008465981,0.04997924962826047,0.04814524323326749,0.04762408685023374,0.5536988972396685,0.40662145913243125,0.2271227729913325
p02_uppercut_right_post_002,0.10254184372467293,0.012589470112434446,0.05807975579959318,0.006540300676544532,0.1319429328336595,0.019035743143411873,0.12358807202592839,0.026687292327319957,0.027889447201078194,0.1849291906154841,0.2235362559814154,0.05028394577778861,0.03137977962142417,0.183324900784624,0.20025903916924706,0.015218312559676489,0.7822223114937997,0.19101139317309795,0.19240924999947873,0.06697839323134695,0.058200577776586514,0.05044479666266785,0.04824182070074447,0.04762043396125481,0.5775267645225541,0.1347976064348231,0.09120902019803896
p02_uppercut_right_post_003,0.08072589981439253,0.002502179237704387,0.05308675527378788,0.002878146087159256,0.10966811475752106,0.008313413836495379,0.08245186902741344,0.004406760539022826,0.0037703963637967172,0.1522149319023989,0.14531942050766547,0.005287806142499686,0.005017013068747252,0.14936623288643047,0.14854718247634296,0.0049200848140240495,0.767147188968409,0.16936922202502744,0.17504611840770815,0.045496589160096204,0.040200061210746145,0.05482367277064165,0.04836593851287289,0.047619667385146794,0.532656630024139,0.02193423040594374,0.034776948895545265
p02_uppercut_right_post_004,0.09281125492416284,0.004077171987137305,0.031615857196127195,0.002675198919454859,0.10075753433875738,0.017133322106473205,0.07055673740532761,0.01234230339487165,0.007041939786050204,0.17216548306532295,0.16556731370010574,0.008685225658493709,0.006617279513973538,0.1370679629213066,0.10991154025181207,0.0042418032451559725,0.7514834589169996,0.1555136895338594,0.15609850255529148,0.047503161977466166,0.04501186165011217,0.05047480444358876,0.04776101426318068,0.047619469575356156,0.5002741613443499,0.03715559162387162,0.04238753059961389
p02_uppercut_right_post_005,0.08751865742255585,0.004104181838886856,0.0481736296199062,0.0024377340850155384,0.07269713122746362,0.01282072235929176,0.11964045514018004,0.007674650914159804,0.008333269148234033,0.171111616446138,0.1331917793463899,0.012826526196086152,0.006926338730226554,0.05329784253023333,0.13992118323137653,0.004933616563781961,0.6928782909720981,0.09738634870930789,0.09891288577971372,0.04689068313119062,0.04338529656817942,0.0496470439408848,0.04772423321409642,0.047619444104709294,0.442268826212927,0.038913619845161916,0.0432665319749356
p02_uppercut_right_post_006,0.07910439760215496,0.0032119063074899064,0.04609428638680161,0.0019761596630902822,0.06903533566802897,0.00547124114994236,0.07872238411492918,0.008196603115147074,0.004757818569840854,0.14486603830392622,0.1488870581721411,0.007153694333469798,0.006957405769869392,0.06798892344922917,0.14092264122766815,0.0045981335645367254,0.7024543313760405,0.10463792089777117,0.10707628900920714,0.04942993649896812,0.04512832600059622,0.05079146534238853,0.04781086920700598,0.04761961645686372,0.43448900784784994,0.025716748454745312,0.03666818245580451
