uppercut_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation
p07_uppercut_left_post_009,0.09917167311780502,0.31616187995465966,0.19566139832482438,0.18748661370408914,0.16250840182061216,0.08108159736029782,0.08610660121543809,0.050248854750395505,0.04762800599535975,0.5576232675646848,0.17801928346184676
p07_uppercut_left_post_010,0.18566335260929204,0.43771906493519985,0.3031788876589503,0.26899802610307105,0.2822202410221669,0.14144395843004082,0.04905683572099585,0.04836161617699387,0.04765220568476641,0.5768136970426746,0.6702219466619488
p07_uppercut_left_pre_001,0.21332121825307407,0.451368434969363,0.2743793107349819,0.2969044556348468,0.3270312140213695,0.11541020161190947,0.04896657654608754,0.04790992669739393,0.04767544428164222,0.5202697583633291,0.7717885646416266
p07_uppercut_left_pre_002,0.17862167658195277,0.4199132797124191,0.22197810153138242,0.2780794745928517,0.28044559998191987,0.11404284960078619,0.04908423504149912,0.047903456272164135,0.04762736828457226,0.51537572577562,0.6194004374402979
p07_uppercut_left_pre_003,0.18243509453718684,0.435950232663534,0.2621373279906794,0.28394019051520797,0.28983885971564954,0.11189608828134348,0.048999043683668954,0.04783248210569065,0.047635338693959334,0.5468412451816371,0.6535940594222375
p07_uppercut_left_pre_004,0.21642629132370866,0.469767182717307,0.2920386634221245,0.31137551446859285,0.3258203448623215,0.11252613283797994,0.04917392856807815,0.04798173227993745,0.04771921997464465,0.5366426491233043,0.7940591163505564
p07_uppercut_left_pre_005,0.21456273570501527,0.455400695385442,0.26959716598842776,0.3048693006107242,0.31115433845059937,0.1140239717501749,0.048808852591233055,0.04808836357608402,0.04765786588461662,0.5415621761546457,0.7397799308098344
p07_uppercut_left_pre_006,0.20239844148286826,0.4444929653292492,0.2627683531256514,0.2958386327581711,0.2928843238814413,0.11071577488474627,0.048974333231463205,0.04800524613859355,0.047663902631196874,0.5104911891524773,0.7173707918308282
p07_uppercut_left_pre_007,0.21692946693671492,0.45945084101470207,0.27248456204032045,0.3042711891420649,0.3066767711494306,0.11907810134031052,0.04900321341512972,0.048010283110147114,0.04769723552724478,0.5372539852439371,0.7479255405608041
p07_uppercut_left_pre_008,0.20609508981578523,0.4597069277269103,0.2766927013435917,0.30203287522117883,0.297923583567637,0.11005285204974154,0.04916759142385382,0.04805346342240078,0.047727467388497216,0.5400092376286685,0.7262498759838183
p07_uppercut_left_pre_009,0.19961879066638447,0.4443966083993109,0.2687088219252338,0.2960293236890289,0.3040019772694452,0.10897474096533058,0.04909115023767892,0.04807525202865763,0.047647806023389264,0.5330509296110645,0.7109711193857227
p07_uppercut_left_pre_010,0.20014245195814034,0.4443730757810565,0.2591349534753162,0.29676239593666576,0.2954431512574044,0.103964912652322,0.04897506302077043,0.048017382713555504,0.047667051616677406,0.5292265824817258,0.6915129153892833
AVG,0.18622978053389252,0.41744477700323146,0.2744835244548005,0.2680034702961102,0.27751184036060533,0.11788229907541999,0.051721306975444144,0.048355564435302076,0.047662152576182226,0.5392366564132471,0.6415679717407616
