straight|p10_Global,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p10_straight_pre_001,0.2932679634116794,0.4848882102544977,0.2887808632898349,0.30730721122218246,0.34203659216411336,0.2878526542488598,0.05396834870848372,0.052793229427106056,0.04943955521241676,0.6567272148599618,0.8892450065032472,0.2544962643318505
p10_straight_pre_002,0.2507177779654743,0.39270724226208015,0.22568529947536078,0.2849579848355402,0.21066411788551503,0.2633046095398857,0.05002290244280991,0.04801145073546462,0.04762573077148376,0.4977669223382316,0.7647848312300889,0.1986004251721687
p10_straight_pre_003,0.3338598491123815,0.4856633380421461,0.2845263589564183,0.3323973072449419,0.3174893670562201,0.2823696773396878,0.05008359064481316,0.05149843793493351,0.04885095367162944,0.6821633184089155,0.8819386233560715,0.26124844899622074
p10_straight_pre_004,0.2731020069325411,0.3967594921433026,0.2371778723376825,0.30252849353068284,0.2381704545142685,0.2427075913821223,0.051529333712628494,0.047901296493194204,0.04767455125432919,0.4934060168818023,0.8045637465087885,0.19761221569587498
p10_straight_pre_005,0.3538245846123917,0.48248803555444547,0.28106782709945505,0.32935679711923244,0.30522504870134154,0.2419770111197362,0.053865527344325294,0.05233923616001287,0.04790745487039231,0.6425542548522958,0.8672713319160569,0.24958633945221131
p10_straight_pre_006,0.30715801095865536,0.43734851942939656,0.255391064621918,0.2509093482257265,0.28439747370397167,0.24444869462888458,0.05316504358284021,0.049496565853843065,0.04763157829270574,0.6050080101077846,0.7382915094599687,0.23588987318148927
p10_straight_pre_007,0.20351888183824157,0.38555318014269313,0.23598269059403193,0.3064325639846923,0.21932211185115263,0.21536910956728578,0.049904709829116156,0.04778361500838574,0.04776075862041593,0.4657681774438693,0.7600513612587588,0.18781883409379038
p10_straight_pre_008,0.3492154796603267,0.4919613810735474,0.2887877845666501,0.3327685923192144,0.31229201227269093,0.2607380096759573,0.04973060308673059,0.05315138839432304,0.050730393467041134,0.6586070659847911,0.8919058358348092,0.25382968582194826
p10_straight_pre_009,0.2867847477218609,0.4421899153366692,0.252852447875108,0.2913631385885713,0.26790338372732636,0.289740408361897,0.08124427162195162,0.04988668547450358,0.047631049591235236,0.5756939861864104,0.8036847838135508,0.23560831442762187
p10_straight_pre_010,0.3407789545500196,0.4925728797807675,0.23661816476412428,0.33104274951370083,0.3047513970498749,0.27535181414172183,0.050694244653319745,0.051294234837231736,0.0481202490409104,0.6248534694241284,0.8791437679216569,0.24228064963822665
AVG,0.3101143629166365,0.4437096234350683,0.2611282983591697,0.26899674415522706,0.2864141620164147,0.2834015281640712,0.05323493760681796,0.05050954577033058,0.048477700044623796,0.5818990141847741,0.8338023729905158,0.22854783252064087
