hook_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p17_hook_left_main_026,0.327744645,0.480990977,0.314733094,0.290307947,0.300821773,0.136463694,0.07055155,0.067016976,0.048112011,0.563619457,0.785267982,0.718773424,,
p17_hook_left_main_027,0.313913113,0.484186658,0.314426866,0.273536705,0.288638904,0.139640843,0.069663706,0.070265706,0.047669316,0.539061926,0.778239507,0.706486232,,
p17_hook_left_main_028,0.327119444,0.48335369,0.310993202,0.282324319,0.291055081,0.138650662,0.071021552,0.070290516,0.047645155,0.558456332,0.771472724,0.707567806,,
p17_hook_left_main_029,0.304854452,0.48212183,0.308918301,0.28311012,0.291245537,0.133040081,0.070175467,0.06981398,0.047972424,0.535537632,0.776088825,0.703923467,,
p17_hook_left_main_030,0.321671381,0.48383834,0.311506698,0.281444029,0.293575789,0.153109867,0.070091673,0.066385844,0.047665307,0.555282935,0.79169528,0.720771576,,
p17_hook_left_post_001,0.338747337,0.495712644,0.308919416,0.278804458,0.255205163,0.132341003,0.069185802,0.068248018,0.047686688,0.550771607,0.745789208,0.687283928,,
p17_hook_left_post_002,0.334572139,0.482186928,0.305034778,0.279628027,0.303715897,0.139832053,0.07036885,0.070793601,0.048021158,0.536568401,0.796717613,0.718672849,,
p17_hook_left_post_003,0.323389682,0.477773446,0.309433383,0.276622828,0.301191231,0.128388868,0.069063543,0.068779125,0.047917189,0.536617152,0.782879717,0.709000947,,
p17_hook_left_post_004,0.32622171,0.465649577,0.297262156,0.299111982,0.306780391,0.126767871,0.070099392,0.076179004,0.047887114,0.531902849,0.789814002,0.712440656,,
p17_hook_left_post_005,0.328725492,0.477090143,0.290330634,0.312425877,0.2991212,0.122133081,0.0709245,0.077010739,0.047885602,0.529611729,0.789219129,0.711336909,,
p17_hook_left_post_006,0.330690618,0.478949125,0.298963361,0.289091183,0.288453595,0.121783055,0.070279892,0.068511591,0.047776733,0.526889932,0.778926074,0.703315232,,
p17_hook_left_post_007,0.331181026,0.490738848,0.30003479,0.29243411,0.294821101,0.126875907,0.071515094,0.069507306,0.047880242,0.531709947,0.793008166,0.714618701,,
p17_hook_left_post_008,0.340273561,0.488690479,0.299191402,0.26936041,0.304004762,0.146073099,0.070014444,0.069988698,0.04783365,0.576065977,0.759098305,0.704188607,,
p17_hook_left_post_009,0.332248337,0.48841007,0.301102255,0.295664684,0.283724432,0.128983989,0.069467023,0.070289045,0.047763345,0.54643673,0.77509544,0.706497827,,
p17_hook_left_post_010,0.310179607,0.494142258,0.300200073,0.302516355,0.304491599,0.136664838,0.071058274,0.077536878,0.047939662,0.526754386,0.812591187,0.726840146,,
p17_hook_left_pre_001,0.312057327,0.495299607,0.31314633,0.279148279,0.292502793,0.139856616,0.067549251,0.062656679,0.047720454,0.512306377,0.82942938,0.734292479,,
p17_hook_left_pre_002,0.317608572,0.491752478,0.31900049,0.283826071,0.315065359,0.134018071,0.071146854,0.07693457,0.047801839,0.553437509,0.796690739,0.72371477,,
p17_hook_left_pre_003,0.315182168,0.489567179,0.315526179,0.288868936,0.31828243,0.126822781,0.071753012,0.07584736,0.047841076,0.53897389,0.80607164,0.725942315,,
p17_hook_left_pre_004,0.310935481,0.491374191,0.317245588,0.295654923,0.304385722,0.138197518,0.069052224,0.074268818,0.047979368,0.541652787,0.811892869,0.730820844,,
p17_hook_left_pre_005,0.334849983,0.481206627,0.307974019,0.286264731,0.318313198,0.127681377,0.070440343,0.075947403,0.048090314,0.549168459,0.795345461,0.721492361,,
p17_hook_left_pre_006,0.329584081,0.497033227,0.309990403,0.299693126,0.321728275,0.126604772,0.071125346,0.077125828,0.047926061,0.559100938,0.805900223,0.731860438,,
p17_hook_left_pre_007,0.339270275,0.486189952,0.30966887,0.287627581,0.260583125,0.132148034,0.070097313,0.068406729,0.047907411,0.574174504,0.733852142,0.68594885,,
p17_hook_left_pre_008,0.326205998,0.495770074,0.306645355,0.276369618,0.30699741,0.140127131,0.070302117,0.069999159,0.048169383,0.557650443,0.784064404,0.716140216,,
p17_hook_left_pre_009,0.330427766,0.491826797,0.314828324,0.276933182,0.323505896,0.121262258,0.071878493,0.069590576,0.047690312,0.558025973,0.790938776,0.721064935,,
p17_hook_left_pre_010,0.353911487,0.481312822,0.314202195,0.290236421,0.279913544,0.131666237,0.068273941,0.068913024,0.047867809,0.582444039,0.757243066,0.704803358,,
AVG,0.315575511,0.486211901,0.310172824,0.286949043,0.303516357,0.139177067,0.070127573,0.071151047,0.047901824,0.548159686,0.792380491,0.71911425,,
