jap,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p08_jap_post_004,0.292753676,0.488488262,0.316269867,0.333505719,0.283561136,0.188783021,0.048195714,0.049974706,0.047855305,0.579086655,0.875923302,0.786872308,,
p08_jap_post_005,0.227403424,0.475297171,0.347416366,0.327160587,0.272500054,0.244171143,0.047872948,0.048433508,0.047638596,0.574035312,0.902532981,0.80398368,,
p08_jap_post_006,0.236097257,0.486785954,0.358987373,0.307857623,0.28514903,0.246118013,0.047983137,0.048974587,0.047674412,0.579611626,0.916284552,0.815282674,,
p08_jap_post_007,0.234348032,0.483668668,0.33803661,0.306482556,0.273232346,0.251582749,0.047837927,0.04827127,0.047940613,0.573250167,0.891177015,0.795798961,,
p08_jap_post_008,0.054914321,0.289349477,0.115295605,0.105589704,0.141442949,0.095061445,0.04792535,0.04776261,0.047619049,0.518309514,0.048671933,0.189563207,,
p08_jap_post_009,0.285323606,0.478313608,0.334112219,0.312991611,0.311137953,0.22010026,0.048247585,0.050038262,0.04773187,0.576782173,0.921401517,0.818015714,,
p08_jap_post_010,0.262629391,0.491672585,0.34060726,0.298166764,0.296590167,0.239580216,0.048211277,0.050844168,0.047638583,0.578334583,0.908416533,0.809391948,,
p08_jap_pre_001,0.22093212,0.486969368,0.246089415,0.247622118,0.226927213,0.263874167,0.048059278,0.048781351,0.047675675,0.381624583,0.898877627,0.743701714,,
p08_jap_pre_002,0.230610923,0.488742495,0.235797694,0.265610889,0.229122266,0.261730707,0.047993935,0.048017351,0.047655791,0.394419647,0.900510871,0.748683504,,
p08_jap_pre_003,0.221627227,0.47616461,0.225486309,0.241570864,0.230122457,0.259014045,0.047948802,0.048066937,0.047635907,0.364235683,0.884622694,0.728506591,,
p08_jap_pre_004,0.220776019,0.458308408,0.235176441,0.255848839,0.214021896,0.245237579,0.048114848,0.047765564,0.047629026,0.350792196,0.883442584,0.723647467,,
p08_jap_pre_005,0.217984049,0.45940612,0.219286973,0.226436881,0.216055715,0.248158007,0.047935129,0.047745882,0.047621745,0.317699464,0.874461748,0.707433063,,
p08_jap_pre_006,0.228498887,0.476572924,0.228411111,0.229391531,0.225494667,0.247767575,0.047951678,0.047976659,0.047637268,0.343344159,0.884370491,0.722062591,,
p08_jap_pre_007,0.229340851,0.461378535,0.229336166,0.23535906,0.227595276,0.236341393,0.04804487,0.04812786,0.047630551,0.33568285,0.882499832,0.718454738,,
p08_jap_pre_008,0.222959953,0.474434409,0.230554281,0.226019329,0.221158019,0.223997878,0.047888113,0.047720644,0.047632834,0.313564074,0.882171883,0.71158954,,
p08_jap_pre_009,0.242692698,0.469330197,0.214794514,0.240629116,0.239144407,0.231465079,0.048053218,0.047938881,0.047635222,0.358348337,0.866050862,0.713740104,,
p08_jap_pre_010,0.226838869,0.466575143,0.210287401,0.21124848,0.239136232,0.242397705,0.047966906,0.047834906,0.047790325,0.337179964,0.854992252,0.699648566,,
AVG,0.250902897,0.483610645,0.303499804,0.292910572,0.272994547,0.227726381,0.048518337,0.049288446,0.047679316,0.520722224,0.882815257,0.774187347,,
