uppercut_left|p16_Global,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p16_uppercut_left_post_005,0.31195955093534333,0.48055277266232316,0.2843609171626947,0.2996630541631963,0.25369293192604364,0.20048321134966543,0.05054845186826862,0.04809297459259542,0.04763190665327525,0.6251303375982225,0.7567151466297939,0.24125725468636217
p16_uppercut_left_post_006,0.30762855092969305,0.46891028255289413,0.2903613652868103,0.31056965554317106,0.24090479527256922,0.19950282178838122,0.05037230882270577,0.04786028071174292,0.04763398208027902,0.6409792793345965,0.7366573838479612,0.24640395628968173
p16_uppercut_left_post_007,0.3619819139149403,0.4751270603672305,0.2827470032673465,0.30620691334305017,0.2939885873776614,0.2059601881449958,0.05074668105847283,0.04799936836177137,0.04764277982273451,0.6482097746412985,0.8030940765213562,0.24898527468718087
p16_uppercut_left_post_008,0.3359618564466745,0.47228988944877226,0.29469548262078193,0.32642033525389735,0.2617755025691989,0.21016953704643754,0.049767357704250684,0.04816502861732862,0.04765034246169743,0.6672216746986673,0.7765914125828621,0.2550513536734155
p16_uppercut_left_post_009,0.32160333462024915,0.4790516354588549,0.2890573761373237,0.29959061439046664,0.2476261983579955,0.19150053368897543,0.050583554233282285,0.047859062078396644,0.047625077832624256,0.6252227281419993,0.7455344694463264,0.24122178148455942
p16_uppercut_left_post_010,0.36419496721942124,0.4665144738911362,0.3126087935124256,0.347018176306859,0.3085371284504463,0.26104710483465876,0.05025736384190366,0.04838748922014918,0.04766950673201468,0.7119524582237295,0.8733461851862937,0.27019910376192746
p16_uppercut_left_pre_001,0.35809422399921514,0.4808519169529437,0.2652892982326323,0.30013414619202183,0.2944140055007661,0.20791567696059676,0.05076755832994565,0.04786831121712149,0.047625077966969784,0.6572601585833828,0.7752591303542299,0.25196534271015
p16_uppercut_left_pre_002,0.33669229464204975,0.4671652442465537,0.2822398984008752,0.28465224323165084,0.3140866585283716,0.1876590716035384,0.0518265295661774,0.04796897117294491,0.04762317138897222,0.616804234713276,0.7987723013511411,0.23886657848413273
p16_uppercut_left_pre_003,0.34887374875018695,0.4762485684921671,0.2716650556328567,0.27282132137277576,0.3215779982033238,0.17357722457895514,0.050464858913374024,0.04783633321786999,0.047622027514068715,0.624546441392692,0.7717240348359857,0.24094921117464535
p16_uppercut_left_pre_004,0.3632315837137957,0.4599930280912233,0.2838477954900042,0.28798180504285825,0.3134331566623393,0.2304608577712957,0.0495370042077604,0.04809721734941244,0.04767136204240435,0.6548433937843143,0.8135954578041604,0.2508258717804957
p16_uppercut_left_pre_005,0.32861438250770636,0.4805236900038744,0.27255354748995314,0.28822712055247834,0.32108782967294963,0.18407127051576042,0.05088382746970226,0.047972168504293596,0.04762280949294507,0.611125219646255,0.803846192868001,0.23666040520675027
p16_uppercut_left_pre_006,0.3547433551732167,0.48047779564530985,0.27146169006370535,0.3019205106080879,0.33217621493486515,0.2657482134409599,0.050741617853194004,0.04787427497545214,0.04762386275416527,0.6606228053129601,0.868586194124522,0.25307956604720205
p16_uppercut_left_pre_007,0.35412417934167334,0.48126448574078895,0.28291779603003364,0.28350249672640315,0.29418532481572857,0.1997556078907228,0.05038065783328064,0.048139742945983915,0.047629910235073715,0.6254068784005156,0.796216408048385,0.2413090930599267
p16_uppercut_left_pre_008,0.34908001087393925,0.47893532713833176,0.28207784480126136,0.29932285757252847,0.26550737785136874,0.17763844686206787,0.05042535839507703,0.04782942778766922,0.047627275456330775,0.6576887368227263,0.7305481554809325,0.25198117433515754
p16_uppercut_left_pre_009,0.36211081625743224,0.4790352568493562,0.27401266071686514,0.30720542589010974,0.33805544812756316,0.2425541316198348,0.04998547360938541,0.048189488143370304,0.04765835080439727,0.6574709074599112,0.8654319139258643,0.2518819564042223
p16_uppercut_left_pre_010,0.34316649228787666,0.4810054915191195,0.2785189403102117,0.29684264054375387,0.3127652087028479,0.20636375211873464,0.04992758176435373,0.048490212937475574,0.047642848749506674,0.6294939896080441,0.8183440376374213,0.24263726143662448
AVG,0.3240422818684659,0.4698031172475229,0.285585589890484,0.307468416165071,0.27922726388268687,0.2155764453020442,0.05057063976069584,0.047978752604231775,0.04763782258579581,0.6701036579651232,0.7586670578415297,0.2562176834433502
