uppercut_right|p02_Global,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p02_uppercut_right_pre_001,0.15835349858778575,0.4048768424014829,0.2387381465963383,0.24710236291594184,0.231685895167342,0.11706505539424752,0.05247427250963935,0.04796525063872935,0.04763859286966965,0.5813219592138991,0.47703052647994876,0.22725382745408923
p02_uppercut_right_pre_002,0.14879546874070043,0.40029608723153254,0.22328435258095305,0.25450677600201393,0.2351681634688097,0.1096222249520028,0.051597803098799834,0.0479659724526871,0.047632602290988334,0.5717721655680951,0.46816624075932994,0.22377864703986067
p02_uppercut_right_pre_003,0.15541568404061704,0.4020638388489662,0.245659948878359,0.26881192847898294,0.24033644980430938,0.10799646160112111,0.052269335582901574,0.04785402810786046,0.04762511430001617,0.5750772198581906,0.5070869155726636,0.2250668611829842
p02_uppercut_right_pre_004,0.12987691138635302,0.3728305502424113,0.22100499994269468,0.22853859238618995,0.22367926108482267,0.09601075733807311,0.052190983653958585,0.04780639798944642,0.047628837399788126,0.5953841382381242,0.36688278401307856,0.23179383996050973
p02_uppercut_right_pre_005,0.12385296743696991,0.35498808133504783,0.1815214356045721,0.21371935986452267,0.21899647085037008,0.08485990457320394,0.05273142893077785,0.04787131254404593,0.04762508737905146,0.555894176780226,0.324479737916995,0.21883230608501658
p02_uppercut_right_pre_006,0.1704090391736352,0.4144842621052516,0.21840426816895836,0.2883930716217945,0.23367725910949666,0.12101743770402913,0.052554858866942986,0.04796811669377645,0.04763774116850779,0.5600271238762453,0.537612853221105,0.22018336647898823
p02_uppercut_right_pre_007,0.16559926979491146,0.43083538698782353,0.26154487323180375,0.28935108177727037,0.2576434434456334,0.11166974322475458,0.05262030527867011,0.04806041229969732,0.047632188181868505,0.5914485287814758,0.5669530601167929,0.2307097487866144
p02_uppercut_right_pre_008,0.16594529992354526,0.41347622427540803,0.2368216227498035,0.287945425767499,0.2430994545354169,0.1151923188934569,0.05274077476981686,0.04789956891524893,0.047637500549285124,0.5692994096636756,0.5460998732306013,0.2233132511162471
p02_uppercut_right_pre_009,0.145179155953533,0.38716345145786585,0.2331595523230287,0.2435788719490149,0.20920900236278342,0.09617573761233593,0.05258411471548793,0.04789744642985034,0.04762910790123011,0.5698040397114693,0.4202117229103348,0.22342853361893583
p02_uppercut_right_pre_010,0.17119473989739326,0.40881687885917833,0.2332777188536274,0.2692338735634243,0.23029017688944978,0.11182831678315759,0.052954008771796804,0.04808323417163426,0.04765902558496732,0.5611062995158116,0.5146735537899068,0.22071451415308088
