straight|p16_Global,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p16_straight_post_010,0.3099874261937401,0.47022234903296206,0.23887098154999387,0.285013229374,0.182884916673613,0.168247482907963,0.048461830741350874,0.04770263392099187,0.04763367985214858,0.5541219222009087,0.6693811532167621,0.21676212895441713
p16_straight_pre_001,0.3201206273969378,0.4134235715675831,0.22452809708570487,0.2923379318378926,0.1997248061020635,0.18085537381892564,0.04846225831437158,0.04770177598826194,0.047620112314554174,0.48101072316122584,0.7328596564744441,0.19239158582128643
p16_straight_pre_002,0.31214732206425977,0.42642519560771097,0.24027622006224494,0.28894373160368353,0.1950954376842408,0.18746247257168316,0.049351387460900585,0.047749484322710506,0.04762524570423077,0.49595788418444064,0.7361435584342848,0.19768625198935058
p16_straight_pre_003,0.32090218009729254,0.439511906842014,0.2339678032248572,0.28096742578777095,0.18682635336233172,0.20913433787175872,0.04954507132988454,0.04778176855371773,0.047621192368947754,0.5283207108932687,0.7158330933036442,0.2085491835922903
p16_straight_pre_004,0.3398946216448989,0.434408523047516,0.2386447789493614,0.3083945146980699,0.18408061761928166,0.2006797810252579,0.04903587467462639,0.047733742269212585,0.0476206147453134,0.5547470134330312,0.7117118355816484,0.21717221012562338
p16_straight_pre_005,0.3120300982717208,0.4057735220813276,0.22288877098346882,0.3156230826035196,0.164502770169406,0.18483140808680482,0.04875281517101763,0.047682202206669126,0.04762225364671248,0.4995205865991643,0.6951592699041842,0.19865186799228368
p16_straight_pre_006,0.31963844447611917,0.41121038553887973,0.21434503091965035,0.24679997648696853,0.1846162004133552,0.1746694311771768,0.048496507689705766,0.04768626049259109,0.04762006850695308,0.5546742692761772,0.5905864304034609,0.21695234581949135
p16_straight_pre_007,0.33273523738170274,0.44504255863201425,0.2328493875846111,0.3083706581696589,0.28134505078882155,0.22318514489847016,0.050249780789800656,0.04775804969458378,0.047626285143507904,0.600599502028235,0.788429602531918,0.2328691108375398
p16_straight_pre_008,0.3225461547752324,0.41884825908101214,0.2204852418921534,0.2897302088906982,0.22619904444877315,0.19819032467422934,0.04831566213384037,0.04768138400409368,0.04763999396458135,0.544109198316204,0.7218755110900432,0.21336874815137932
p16_straight_pre_009,0.33711421570750544,0.4305868936727695,0.24382341751619477,0.2987700587793133,0.25495863602283314,0.21757632165790666,0.05105257373468614,0.0477601829236753,0.04762135602916033,0.5714032087507493,0.7729024282834067,0.2234053218030369
p16_straight_pre_010,0.33375421087635593,0.4272493395050619,0.2325407112858135,0.2746972492365075,0.2161970811850241,0.21232410376370722,0.048351499034077004,0.04767573555091104,0.04763311694677767,0.5309357948146782,0.7356589454026526,0.20898767646655542
AVG,0.3268134396583019,0.42888284043795477,0.22867921313535303,0.29494673123946336,0.2499281232278519,0.2221872570422992,0.04951432622195016,0.04851876959636201,0.048105753239878056,0.5774034085625676,0.7439626180050161,0.22514550146029325
