uppercut_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,
p22_uppercut_right_main_029,0.182597201,0.393305554,0.2383109,0.279858266,0.192580171,0.192609307,0.047858976,0.048146065,0.047631727,0.471527977,0.6620091,0.604864763,
p22_uppercut_right_main_030,0.176799442,0.352322442,0.242340391,0.270230747,0.164996385,0.167624298,0.048071477,0.047942331,0.047637472,0.422234946,0.628581846,0.566677776,
p22_uppercut_right_post_001,0.230129616,0.45946638,0.219956047,0.242551368,0.216031531,0.207818225,0.047947924,0.048221662,0.047728967,0.486284127,0.706906724,0.640719945,
p22_uppercut_right_post_002,0.189835457,0.400387736,0.196306637,0.241725426,0.192101186,0.191471354,0.047854258,0.047774563,0.047620264,0.471048926,0.592759419,0.556246271,
p22_uppercut_right_post_003,0.236949838,0.49581102,0.255953895,0.261787421,0.252385229,0.234754353,0.048617832,0.047970734,0.048006976,0.499250023,0.809658022,0.716535623,
p22_uppercut_right_post_004,0.208198762,0.421733225,0.212425578,0.2505697,0.203424314,0.193444575,0.047764458,0.047727567,0.047625066,0.47759284,0.644397126,0.59435584,
p22_uppercut_right_post_005,0.201234647,0.449673808,0.229185863,0.254974908,0.223494052,0.199420407,0.04781182,0.047815408,0.047775081,0.455362471,0.730791688,0.648162923,
p22_uppercut_right_post_006,0.219733817,0.436683684,0.256235878,0.269382135,0.223804377,0.234851536,0.047833297,0.047769114,0.047631367,0.485575789,0.773163944,0.686887498,
p22_uppercut_right_post_007,0.222842049,0.326445105,0.217555361,0.242920589,0.117791893,0.157900411,0.048223427,0.047660209,0.047620788,0.447610297,0.516735316,0.495997811,
p22_uppercut_right_post_008,0.231193533,0.429107944,0.300197942,0.300106731,0.257129583,0.216887621,0.04821892,0.047799651,0.047651247,0.553625257,0.791535846,0.720162669,
p22_uppercut_right_post_009,0.239200311,0.461782526,0.273449803,0.286157128,0.247490608,0.200941707,0.047952353,0.048567681,0.047974903,0.503919203,0.798718111,0.710278438,
p22_uppercut_right_post_010,0.192488827,0.422764755,0.198714922,0.228167609,0.174275547,0.184055985,0.048580061,0.048060066,0.047621326,0.46189643,0.579472412,0.544199617,
p22_uppercut_right_pre_001,0.194963995,0.465467533,0.287390233,0.293525602,0.200245539,0.208467606,0.048880194,0.048030551,0.048003917,0.546923177,0.72625123,0.672452814,
p22_uppercut_right_pre_002,0.275828857,0.476322431,0.278447219,0.287729207,0.265274119,0.216403806,0.047927402,0.05258845,0.047781873,0.522615167,0.841792358,0.746039201,
p22_uppercut_right_pre_003,0.25439077,0.485421576,0.274469838,0.295985807,0.26838332,0.195504173,0.047960707,0.049383094,0.048195876,0.526088629,0.821787085,0.733077548,
p22_uppercut_right_pre_004,0.192394717,0.405127987,0.177900385,0.22928678,0.177039466,0.183238961,0.047809069,0.047947108,0.047619885,0.462163293,0.554357227,0.526699047,
p22_uppercut_right_pre_005,0.206826087,0.364417186,0.198066442,0.255787202,0.199619176,0.187795189,0.047821074,0.047696266,0.047622391,0.429200685,0.647057559,0.581700497,
p22_uppercut_right_pre_006,0.118229994,0.312087441,0.127323599,0.151362109,0.134791374,0.159463266,0.047843847,0.047658022,0.047619066,0.48568418,0.249583674,0.320413826,
p22_uppercut_right_pre_007,0.156866987,0.333538236,0.195631906,0.232529468,0.138203262,0.183999419,0.04787311,0.047902188,0.04762027,0.468616572,0.475725362,0.473592725,
p22_uppercut_right_pre_008,0.223215305,0.42342093,0.187729017,0.257267665,0.143159502,0.167735061,0.04853953,0.047878015,0.04762229,0.492410542,0.539757884,0.525553681,
p22_uppercut_right_pre_009,0.085208695,0.256709824,0.097975178,0.101897694,0.105998886,0.134710386,0.047719882,0.047665837,0.047619059,0.482233193,0.071300754,0.194580486,
p22_uppercut_right_pre_010,0.263029333,0.456871907,0.259564457,0.266166535,0.223294796,0.20597448,0.04788494,0.048172081,0.047835667,0.502718395,0.758827885,0.681995038,
AVG,0.207721927,0.417556317,0.225518886,0.25481725,0.19837956,0.192766103,0.048103658,0.048104652,0.04769356,0.489474108,0.641744441,0.596063341,
