uppercut_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,
p22_uppercut_left_post_010,0.277694491,0.45460273,0.276599333,0.283264073,0.310353928,0.306073652,0.050869339,0.049255773,0.047671329,0.6015056,0.871585766,0.871585766,
p22_uppercut_left_pre_001,0.29035707,0.466115698,0.256603145,0.222582865,0.293180423,0.297341906,0.049766356,0.049861577,0.047803482,0.567921289,0.823595717,0.823595717,
p22_uppercut_left_pre_002,0.270499096,0.474635417,0.27934849,0.267754409,0.288516567,0.30840922,0.049233061,0.050520904,0.047715834,0.620948862,0.836026533,0.836026533,
p22_uppercut_left_pre_003,0.288256266,0.481451238,0.279020812,0.277474543,0.299179377,0.326164638,0.050900179,0.050052572,0.04780778,0.640265269,0.864023295,0.864023295,
p22_uppercut_left_pre_004,0.28309512,0.492009902,0.242686056,0.253496377,0.289019085,0.322530334,0.050971199,0.053723485,0.047805173,0.59088937,0.839349849,0.839349849,
p22_uppercut_left_pre_005,0.283245616,0.479372086,0.280084041,0.280485902,0.313307356,0.287913522,0.05079583,0.04885743,0.047665269,0.627396056,0.855543519,0.855543519,
p22_uppercut_left_pre_006,0.257317478,0.473020788,0.277542763,0.276385409,0.270032491,0.310569404,0.050406027,0.051968113,0.047702774,0.613483463,0.821559834,0.821559834,
p22_uppercut_left_pre_007,0.287185973,0.490703751,0.252347371,0.263469546,0.300958478,0.317928896,0.051172119,0.05235888,0.047733238,0.610094756,0.850529434,0.850529434,
p22_uppercut_left_pre_008,0.229522086,0.432060259,0.238060924,0.238123291,0.240806624,0.236287182,0.051007907,0.047850366,0.047620952,0.650953512,0.574851961,0.574851961,
p22_uppercut_left_pre_009,0.32626767,0.4809909,0.294608543,0.289198291,0.247196656,0.256525328,0.050878721,0.04791965,0.047620358,0.679073081,0.761221795,0.761221795,
p22_uppercut_left_pre_010,0.299013243,0.48520983,0.310209538,0.281050706,0.238992565,0.285004081,0.05105421,0.048915235,0.047661801,0.677220991,0.777152039,0.777152039,
AVG,0.264326394,0.463391152,0.249370429,0.250171913,0.286846142,0.288218731,0.050471552,0.050902901,0.047839617,0.576850918,0.800407634,0.800407634,
