hook_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p22_hook_left_post_006,0.2597087139033679,0.46087037364288985,0.23185325432853005,0.2776730815202342,0.3275706839212727,0.24049717703704587,0.06523932758768816,0.05935913097394474,0.04764408043687244,0.517453164617353,0.832868819634511,0.832868819634511
p22_hook_left_post_007,0.24376653230873258,0.4659736005524448,0.23062736066835762,0.2910732371329569,0.3125368699630598,0.21574684172379105,0.06647484934294653,0.06118954610024335,0.04766119350487059,0.5690886115576621,0.7495782566810123,0.7495782566810123
p22_hook_left_post_008,0.2676708891849912,0.44841760710735307,0.20265886122180166,0.26668623309017603,0.3424511673492213,0.295734128631322,0.06064288141530319,0.05861111243818854,0.04769421002883029,0.5272111488466702,0.8592166086034544,0.8592166086034544
p22_hook_left_post_009,0.2785813632171618,0.46512888117499085,0.22830795834005735,0.26487917687979,0.33521814951974827,0.22809802820613764,0.06721777349511888,0.06170029952892066,0.04765130752009685,0.5287932303650321,0.8041433381358057,0.8041433381358057
p22_hook_left_post_010,0.2423721007547793,0.4601391740028024,0.2509360001641535,0.2662894129564304,0.30433859661943197,0.2235771967936338,0.06507072817959776,0.059241524859227415,0.047667899329186074,0.5517944586241526,0.760883668426237,0.760883668426237
p22_hook_left_pre_001,0.2637404065100913,0.46519798980873295,0.28652643307236064,0.24921117748190583,0.2557739852393345,0.18930786271631567,0.06782403647361919,0.06311409340811552,0.0476345693292154,0.5065074884862375,0.7490409221581003,0.7490409221581003
p22_hook_left_pre_002,0.25944113069887104,0.41863225519790204,0.21731853833129175,0.18990320851237885,0.32791181958300847,0.25607937715152174,0.05971825279647048,0.05825330110914635,0.04766336564964419,0.42547465953398156,0.8269224795533197,0.8269224795533197
p22_hook_left_pre_003,0.2637483495023847,0.4700733638232365,0.2155534281558213,0.18685380726470852,0.31438655330481147,0.25401097230052655,0.060609179649480656,0.05744063362679257,0.04804683607269443,0.4484200377250692,0.8148233397659217,0.8148233397659217
p22_hook_left_pre_004,0.2744327509785194,0.4656325907052,0.23441272151569348,0.22210462098192582,0.3274735409654765,0.21051437110428645,0.06479462042018554,0.06136782283744576,0.04766940621933778,0.47466049295131835,0.8073626916697004,0.8073626916697004
p22_hook_left_pre_005,0.2973095384814429,0.4414471887722476,0.22666623525271778,0.18848533538894674,0.3309475901161931,0.2569476222536354,0.05961447496659048,0.05849905536048093,0.04767195052753173,0.5013182726383076,0.7979677252518931,0.7979677252518931
p22_hook_left_pre_006,0.26140706723853857,0.46594700584220644,0.251331875733218,0.21217880115665597,0.32982996100428547,0.2618591658804535,0.060136212876585694,0.057354515489805656,0.04772226160102816,0.5243485996881414,0.8187795619850717,0.8187795619850717
p22_hook_left_pre_007,0.2526310477363002,0.4483522666960784,0.2293253974507469,0.20545747539222722,0.3258954395852338,0.25700006488028454,0.06029567706322357,0.05789156378558315,0.04770873408034554,0.46072287175296794,0.8305473411300222,0.8305473411300222
p22_hook_left_pre_008,0.2728940094914867,0.4568895145068489,0.22983917977368792,0.2411748146338927,0.3133190845255439,0.1990088157668719,0.06667522233733625,0.061967895019531496,0.04762771522878868,0.5001614420038887,0.7620762027126967,0.7620762027126967
p22_hook_left_pre_009,0.24705956289228181,0.44643423111365277,0.23104336223801297,0.2043287291506503,0.32739462030577415,0.2621771419767912,0.06024379244318958,0.05773357723287951,0.04766898679151202,0.4839577753003588,0.8116432973005917,0.8116432973005917
p22_hook_left_pre_010,0.27094360652153676,0.47643859899048113,0.2613479659471753,0.27151802042006035,0.3161973481474306,0.20233674019457398,0.06910784794686113,0.06456221874151498,0.047623942324170845,0.5415603955567061,0.7922126771167587,0.7922126771167587
AVG,0.2718371069841344,0.45867273450867,0.22087724575852125,0.22807864082329174,0.31992903722812094,0.23493946824107023,0.06453880157033896,0.06123854228916523,0.04771343074276592,0.5156530598525157,0.7695685614281211,0.7695685614281211
