Hook,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation
p04_hook_left_post_003,0.24005468920267597,0.4412427579589987,0.2986616327971083,0.26904402446294295,0.2035969969176775,0.23055235082717,0.07189868309810905,0.07243996357640495,0.048167976514740536,0.3793244501507993,0.8571840593182481
p04_hook_left_post_004,0.21606416007020818,0.4297181651345047,0.29534452891944907,0.2314991047092291,0.19364373640812999,0.16249293832893427,0.07099429353846333,0.0688440372545695,0.0476389645817439,0.31867465920398536,0.7876893631488264
p04_hook_left_post_005,0.2498463561806949,0.4300162593566853,0.286812609643974,0.2486656707640325,0.18877216618044662,0.24278493603943704,0.06625341480820768,0.06549444017363097,0.04766240782954815,0.3787786018378424,0.8371774249815722
p04_hook_left_post_006,0.23776697630948712,0.4218491934818279,0.28636183677290383,0.2536518222094007,0.1816243210669024,0.23443423685913603,0.06556732061036658,0.06492493877417946,0.04767697236330209,0.37326067320743556,0.8240909929107909
p04_hook_left_post_007,0.2201503637905932,0.4570371640583562,0.28574824976598145,0.26977017313969515,0.208998355811539,0.22653144048224907,0.07088657815879126,0.0740613139850123,0.04769396467040881,0.3707983738706616,0.8533516237135297
p04_hook_left_post_008,0.20697937078769707,0.4782644945031144,0.29869884258963897,0.2749775143406557,0.2253031184972289,0.24927916767130545,0.07551021251151546,0.07405827181973665,0.04773054239161825,0.40082766410764387,0.8781130895859052
p04_hook_left_post_009,0.21550393412756166,0.464562318029349,0.30617241438386866,0.27361206230094104,0.21620515461920414,0.23391929623749902,0.0731004689321326,0.07472498928565816,0.04802993643975454,0.39498867873276367,0.8648581946236552
p04_hook_left_post_010,0.20810780678746066,0.4614658401996645,0.2953928101373645,0.27142212395953813,0.22910809551148753,0.2283870596581024,0.07487037936920612,0.07459220275312102,0.0477161733480855,0.3964034722686272,0.8504761813319079
p04_hook_left_pre_001,0.24364761609889451,0.41028013380790923,0.30670061026192535,0.24131180197026197,0.19082024341298473,0.15943409364588645,0.0708433085208215,0.06967460732307885,0.04763807407104892,0.3578900001054063,0.766995403541395
p04_hook_left_pre_002,0.239636003510919,0.4227691845834295,0.2998202959701951,0.26280306754430877,0.21211992121211737,0.23035530852556924,0.07437001297289592,0.0753317712087657,0.04767769289139513,0.3834103317593692,0.8416796872958182
p04_hook_left_pre_003,0.26555813975082226,0.4063379365835254,0.3044371254901715,0.26699356692334997,0.15623048381836993,0.18372858668771883,0.0650786165631059,0.06661014855957823,0.047621559774401086,0.42098742421337637,0.737937303470798
p04_hook_left_pre_004,0.22005291034644622,0.40122648147288337,0.3117701797938085,0.250315323744903,0.17650625517354973,0.14096738360804575,0.07022937087000883,0.06974016938751669,0.04763264174509619,0.3585644371887602,0.7334880643253735
p04_hook_left_pre_005,0.23659646984467936,0.410245075193194,0.31926626332261865,0.22937670441620747,0.18340100164760875,0.15210019468926475,0.0684806391903191,0.06741095790885389,0.04763520656834648,0.33100503756652705,0.7822468434335548
p04_hook_left_pre_006,0.21171400139895064,0.36427878408403985,0.3125475944934149,0.2670427367712141,0.13506696837776383,0.15947937425176614,0.06546824785151874,0.06661579037768396,0.04761994299458716,0.4067522570316786,0.6654261844980224
p04_hook_left_pre_007,0.2507325156467938,0.41143950140467356,0.34443331382767317,0.2680390806699515,0.16521976005225164,0.19969817575173585,0.06592810296228688,0.0654965432219053,0.04762522435799637,0.4250856871659458,0.7929711070672583
p04_hook_left_pre_008,0.22592044331526956,0.4114699694787506,0.32944344943021237,0.23433045672772623,0.19694913708629908,0.1746375087201032,0.07093034526389637,0.07029141835876442,0.04764190840273021,0.3406709753875488,0.8107727948269657
p04_hook_left_pre_009,0.2248144785378602,0.42641866962303804,0.30685094160685455,0.2549778102067795,0.21330448168003396,0.22656839081974312,0.07623404998994221,0.07848530550840843,0.04774681534412223,0.3556911666193999,0.8548320826716417
p04_hook_left_pre_010,0.23292416870305535,0.42597520330908256,0.32198724968733167,0.2569685046379047,0.20134693985109836,0.21442397173329347,0.07398447239466778,0.07523696457216042,0.04768177963166902,0.3858713943810814,0.8284215087738487
AVG,0.22154573590188392,0.437459691530106,0.2860259945933417,0.2554832010153481,0.18713838044943934,0.21894197310673583,0.06957796003238893,0.0698151110869823,0.0477222428773421,0.3749575612437592,0.8029783445489062
