Uppercut,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation
p04_uppercut_right_post_005,0.1373567981562242,0.370009806114746,0.2386056833229242,0.2500513812138114,0.11733161896389621,0.16073728485186914,0.054332487522268366,0.04889731043633724,0.04761921099098963,0.4796596440035841,0.46812898287281257
p04_uppercut_right_post_006,0.18157609319819518,0.439183880073408,0.2968310986238464,0.2676402947520006,0.17024869318925287,0.17639017926825476,0.058479777044200126,0.05568996330145111,0.04762398866275614,0.5299040327681479,0.6124301035492721
p04_uppercut_right_post_007,0.2303120471980506,0.42559958509959656,0.2583652866557807,0.31714871635096975,0.1709497405527592,0.17251655172054353,0.054303066403771014,0.04784926387258227,0.04766490556395059,0.4169062043085273,0.7682097413546798
p04_uppercut_right_post_008,0.16971009379403984,0.3869839099530237,0.23326465924988407,0.24745720985904365,0.1355737876380764,0.15751093271420774,0.05363198800060265,0.04792022429075908,0.04762185112356908,0.4086612230775568,0.5879717117900688
p04_uppercut_right_post_009,0.17208232224895995,0.3863372208943499,0.224341605560107,0.2516859280294505,0.13325049204315556,0.15917947157187226,0.052987888071335996,0.0479438945265365,0.047621563503988065,0.4099795805671631,0.5813181345349743
p04_uppercut_right_post_010,0.12269156050808432,0.34484372580008193,0.2302380826740956,0.21351593155649015,0.11333399439771581,0.13175408714003137,0.05583653970100914,0.04951620090776104,0.04761913065354463,0.46214997625967663,0.38989301162518164
p04_uppercut_right_pre_001,0.2664748314532209,0.39408105164434354,0.2782881638766769,0.29382970414112963,0.14653141941281866,0.19925389058653148,0.055288716352148215,0.05016157586590046,0.04769372313883605,0.504861024634913,0.6763561257478625
p04_uppercut_right_pre_002,0.1431809548292146,0.3358803303008844,0.17229637968156689,0.10334883927247307,0.08451786103355388,0.14889205453579005,0.05268534594112067,0.04872227810361381,0.04761920417207425,0.4824511925165916,0.20107658018172747
p04_uppercut_right_pre_003,0.2297960521821448,0.3675781135501427,0.2759047044491791,0.27688736844216144,0.121309112765728,0.1592765112630888,0.05441708188683765,0.048104987075001375,0.04762077934299844,0.5463788619770178,0.5226231222863194
p04_uppercut_right_pre_004,0.2478281034293015,0.42359760236596833,0.2369628851307053,0.2347261595025641,0.15926297831970054,0.1902608332230349,0.051531048580263465,0.04784041803916192,0.04762327755981141,0.48676327479908804,0.6086474773244396
p04_uppercut_right_pre_005,0.2766840285987316,0.4711580873903799,0.29455657561435533,0.2704096798363965,0.19869672983499845,0.21766360302963025,0.053185372466613666,0.0481106489481805,0.0477318559209015,0.5058009162745455,0.7873435891218238
p04_uppercut_right_pre_006,0.28547158319887234,0.4751017405457937,0.3070682033838119,0.283359930210917,0.19687258126905585,0.2269856822464626,0.0535685523737442,0.047916509424170375,0.047726005255463395,0.5344763493435526,0.7984316215542674
p04_uppercut_right_pre_007,0.26788427668858744,0.3885445374233421,0.28506710716431194,0.29679992125844334,0.1579943405732562,0.22011908758301107,0.052044588998010545,0.04781075725495241,0.047630753723772186,0.5371547351675527,0.6892255812507544
p04_uppercut_right_pre_008,0.2786917165538888,0.45051594736352085,0.26667739092875714,0.2735450644097862,0.1983658472179501,0.17586636039370118,0.05221330178461756,0.048602630553844846,0.047668698949054275,0.48516821241013675,0.7335873802876808
p04_uppercut_right_pre_009,0.2738102307897636,0.45835835406275266,0.26729553743915835,0.27979554512788046,0.20136889268411723,0.18759809586176557,0.05130138170533392,0.0479723752298541,0.04770160922099259,0.48107791846650994,0.7614848297890123
p04_uppercut_right_pre_010,0.2782333123904589,0.48102963081527034,0.28407216577650685,0.3165222732528613,0.20526764448630114,0.17654716588635316,0.05553943674669493,0.05220583604138214,0.047729990183385904,0.5017727733240833,0.7908378068595838
AVG,0.2071522168663185,0.42379274045848175,0.27891539871826926,0.2736036586092031,0.16588741190513456,0.17550599545413673,0.05538717199386202,0.05005292162511636,0.04768032242910013,0.4825698812287982,0.6588416808118509
