File,Column,Pre_Avg,Main_Avg,Post_Avg
hook_left_p02_Global_hook_left_005_similarity_matrix,Acceleration,0.053930987,0.050283049,0.050170219
hook_left_p02_Global_hook_left_005_similarity_matrix,Velocity,0.049275151,0.048720439,0.048797212
hook_left_p02_Global_hook_left_005_similarity_matrix,Position,0.047625053,0.047687149,0.047664148
hook_left_p02_Global_hook_left_005_similarity_matrix,Joint Angle,0.489580361,0.530992714,0.519883939
hook_left_p02_Global_hook_left_005_similarity_matrix,rotation,0.613428088,0.60911215,0.547918066
hook_left_p02_Global_hook_left_005_similarity_matrix,Overall,0.33052657,0.32839965,0.297791107
hook_left_p04_Global_hook_left_001_similarity_matrix,LShoulder,0.251381866,0.255604541,0.275484304
hook_left_p04_Global_hook_left_001_similarity_matrix,LUArm,0.178824691,0.183760147,0.1900304
hook_left_p04_Global_hook_left_001_similarity_matrix,LFArm,0.165899673,0.242988137,0.21446959
hook_left_p04_Global_hook_left_001_similarity_matrix,LHand,0.088225049,0.152281062,0.151477097
hook_left_p04_Global_hook_left_001_similarity_matrix,RShoulder,0.248741324,0.284600354,0.298213358
hook_left_p04_Global_hook_left_001_similarity_matrix,RUArm,0.174497882,0.164239715,0.173553456
hook_left_p04_Global_hook_left_001_similarity_matrix,RFArm,0.219986135,0.205753204,0.218156017
hook_left_p04_Global_hook_left_001_similarity_matrix,RHand,0.122446201,0.124292639,0.149008766
hook_left_p04_Global_hook_left_001_similarity_matrix,LThigh,0.178223333,0.176755287,0.18382946
hook_left_p04_Global_hook_left_001_similarity_matrix,LShin,0.254055586,0.295755202,0.304254943
hook_left_p04_Global_hook_left_001_similarity_matrix,LFoot,0.220430955,0.176038261,0.175617482
hook_left_p04_Global_hook_left_001_similarity_matrix,LToe,0.113998795,0.106236221,0.104560088
hook_left_p04_Global_hook_left_001_similarity_matrix,RThigh,0.186367407,0.177710815,0.18729915
hook_left_p04_Global_hook_left_001_similarity_matrix,RShin,0.307718821,0.237893467,0.25527293
hook_left_p04_Global_hook_left_001_similarity_matrix,RFoot,0.342164408,0.315434024,0.350067668
hook_left_p04_Global_hook_left_001_similarity_matrix,RToe,0.178383779,0.169139959,0.182077392
hook_left_p04_Global_hook_left_001_similarity_matrix,Hip,0.88415982,0.923044111,0.911209473
hook_left_p04_Global_hook_left_001_similarity_matrix,Ab,0.277151764,0.323188498,0.313352371
hook_left_p04_Global_hook_left_001_similarity_matrix,Chest,0.280786896,0.323254348,0.31386468
hook_left_p04_Global_hook_left_001_similarity_matrix,Neck,0.234057605,0.211176537,0.215574114
hook_left_p04_Global_hook_left_001_similarity_matrix,Head,0.224697265,0.208557574,0.216884723
hook_left_p04_Global_hook_left_001_similarity_matrix,Acceleration,0.051747982,0.050700937,0.052078949
hook_left_p04_Global_hook_left_001_similarity_matrix,Velocity,0.050789936,0.049993501,0.051285395
hook_left_p04_Global_hook_left_001_similarity_matrix,Position,0.047651662,0.047702982,0.047862412
hook_left_p04_Global_hook_left_001_similarity_matrix,Joint Angle,0.421182157,0.428886467,0.421913613
hook_left_p04_Global_hook_left_001_similarity_matrix,rotation,0.813089822,0.825993711,0.865035697
hook_left_p04_Global_hook_left_001_similarity_matrix,Overall,0.430370742,0.436848347,0.456449054
hook_left_p04_Global_hook_left_002_similarity_matrix,LShoulder,0.233207209,0.234901082,0.259735703
hook_left_p04_Global_hook_left_002_similarity_matrix,LUArm,0.160344552,0.175315015,0.181294896
hook_left_p04_Global_hook_left_002_similarity_matrix,LFArm,0.163285438,0.235650747,0.209765356
hook_left_p04_Global_hook_left_002_similarity_matrix,LHand,0.084649044,0.145824717,0.14666538
hook_left_p04_Global_hook_left_002_similarity_matrix,RShoulder,0.177918718,0.190327416,0.2045329
hook_left_p04_Global_hook_left_002_similarity_matrix,RUArm,0.281901191,0.2663942,0.285196194
hook_left_p04_Global_hook_left_002_similarity_matrix,RFArm,0.192698129,0.17719857,0.195995627
hook_left_p04_Global_hook_left_002_similarity_matrix,RHand,0.116743688,0.119265002,0.146658515
hook_left_p04_Global_hook_left_002_similarity_matrix,LThigh,0.177439979,0.176820503,0.187369048
hook_left_p04_Global_hook_left_002_similarity_matrix,LShin,0.250365587,0.291778332,0.307462258
hook_left_p04_Global_hook_left_002_similarity_matrix,LFoot,0.251604498,0.208458079,0.20875671
hook_left_p04_Global_hook_left_002_similarity_matrix,LToe,0.132179608,0.124095244,0.121722932
hook_left_p04_Global_hook_left_002_similarity_matrix,RThigh,0.183864092,0.173081559,0.18503164
hook_left_p04_Global_hook_left_002_similarity_matrix,RShin,0.301625069,0.227168282,0.244201441
hook_left_p04_Global_hook_left_002_similarity_matrix,RFoot,0.333261595,0.323165531,0.349843875
hook_left_p04_Global_hook_left_002_similarity_matrix,RToe,0.17539433,0.165993563,0.178998404
hook_left_p04_Global_hook_left_002_similarity_matrix,Hip,0.894631785,0.929823784,0.926794748
hook_left_p04_Global_hook_left_002_similarity_matrix,Ab,0.286275036,0.328960568,0.328281245
hook_left_p04_Global_hook_left_002_similarity_matrix,Chest,0.289936449,0.328960822,0.328007615
hook_left_p04_Global_hook_left_002_similarity_matrix,Neck,0.239547742,0.214226831,0.22090239
hook_left_p04_Global_hook_left_002_similarity_matrix,Head,0.230855054,0.211266441,0.22233914
hook_left_p04_Global_hook_left_002_similarity_matrix,Acceleration,0.067986352,0.066781421,0.069791551
hook_left_p04_Global_hook_left_002_similarity_matrix,Velocity,0.063544292,0.062074662,0.064675112
hook_left_p04_Global_hook_left_002_similarity_matrix,Position,0.04764327,0.047708979,0.047791531
hook_left_p04_Global_hook_left_002_similarity_matrix,Joint Angle,0.377029615,0.374182559,0.376685184
hook_left_p04_Global_hook_left_002_similarity_matrix,rotation,0.804065871,0.816949292,0.860419931
hook_left_p04_Global_hook_left_002_similarity_matrix,Overall,0.42585457,0.432329136,0.454105731
